Reaction ID	Rule	Aligned smarts	Reaction center
29	rule0002	O=C(O)CC(O)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1>>NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1.O=C(O)CC(=O)C(=O)O	((4, 5), (3, 4, 5, 6, 7, 43))
29	rule0754	O=C(O)CC(O)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1>>NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1.O=C(O)CC(=O)C(=O)O	((3, 4, 5), (3, 4, 5, 6, 7, 43))
49	rule0067	CC(C)(CO)C(O)C(=O)O.NCCC(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>CC(C)(CO)C(O)C(=O)NCCC(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)OP(=O)(O)O	((7, 9), (0,), (18, 15))
112	rule0016	O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)O	((0,), (20, 21))
197	rule0012	O=C(O)CCC(=O)O.NC(CCC(=O)O)C(=O)O>>O.O=C(O)CCC(=O)NC(CCC(=O)O)C(=O)O	((1, 2), (0,))
217	rule0429	CC(C)=CCOP(=O)(O)OP(=O)(O)O.*OC1C(COP(*)(=O)O)OC(n2cnc3c(N)ncnc32)C1O>>*OC1C(COP(*)(=O)O)OC(n2cnc3c(NCC=C(C)C)ncnc32)C1O.O=P(O)(O)OP(=O)(O)O	((4, 5), (17,))
240	rule0847	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.NC(CCC(=O)O)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C(N)CCC(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)OP(=O)(O)O	((21, 22), (9,), (18, 15))
262	rule0015	*C1CC(O)C(COP(=O)(O)OP(=O)(O)O)O1.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>*C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	((14,), (22, 23))
302	rule0121	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.*OC1C(COP(*)(=O)O)OC(n2cnc3c(=O)[nH]c(N)nc32)C1O>>*OC1C(COP(*)(=O)O)OC(n2c[n+](C)c3c(=O)[nH]c(N)nc32)C1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	((0, 1), (14,))
346	rule0194	O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O.Nc1nc2[nH]cnc2c(=O)[nH]1>>Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1.O=P(O)(O)OP(=O)(O)O	((8, 9), (4,))
367	rule0123	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C(N)CC(C)C.*C(=O)C(N)CCC(=O)O>>*C(=O)C(CCC(=O)O)NC(=O)C(N)CC(C)C.*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	((23, 22), (4,))
517	rule0171	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.O=C(O)CCC(=O)O.Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O.Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1.O=P(O)(O)O	((47,), (1, 2), (20, 17))
538	rule0129	NC1C(OP(=O)(O)O)OC(CO)C(O)C1O>>NC1C(O)OC(COP(=O)(O)O)C(O)C1O	((11, 3, 4),)
581	rule0549	*C(=O)OCC(O)COP(=O)(O)OCCN>>*C(=O)OCC1COP(=O)(O)O1.NCCO	((6, 12, 9),)
603	rule0035	Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC3C(COP(=O)(O)OC2C1O)OC(n1ccc(=O)[nH]c1=O)C3O.O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OC2C(CO)OC(n3ccc(=O)[nH]c3=O)C2O)C(OP(=O)(O)O)C1O	((21, 22), (0,))
623	rule0846	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C(N)CC(=O)O.O=P(O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O>>*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.NC(CC(=O)O)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((21, 22), (2,), (17, 15))
643	rule0030	NC(COP(=O)(O)O)Cc1c[nH]cn1.O=C(O)CCC(=O)C(=O)O>>NC(CCC(=O)O)C(=O)O.O=C(COP(=O)(O)O)Cc1c[nH]cn1	((1, 0), (5, 6))
