Reaction ID	Rule	Aligned smarts	Reaction center
1	rule0071	CC(O)C(O)C(O)C(O)C(=O)O>>CC(O)C(O)CC(=O)C(=O)O.O	((5, 6, 7, 8),)
22	rule1213	N#Cc1c[nH]c2nc(N)[nH]c(=O)c12.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1>>NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.NCc1c[nH]c2nc(N)[nH]c(=O)c12	((1, 0), (3, 4, 5, 45, 46, 47), (3, 4, 5, 45, 46, 47))
63	rule0028	O=P(O)(O)OCC1OC(O)(CO)C(O)C1O>>O=P(O)(O)OCC1OC(O)C(O)C(O)C1O	((10, 8, 12),)
84	rule0080	O=C(CO)C(O)C(O)COP(=O)(O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C=O>>NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O	((2, 1, 0), (3, 4, 5, 45, 46, 47), (1, 0))
104	rule0023	N=C(N)NCCCCN.O=C=O>>N=C(N)NCCCC(N)C(=O)O	((7,), (1, 0))
149	rule0002	COc1cc(C=CCO)ccc1O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1>>COc1cc(C=CC=O)ccc1O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	((7, 8), (3, 4, 5, 6, 7, 47))
169	rule0025	CC(C=CC=C(C)C=CC=C(C)C(=O)O)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1>>CC(C=O)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O	((12, 14), (3, 4, 5, 41, 42, 43))
210	rule0014	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.*NC(C(*)=O)C(C)OP(=O)(O)O>>*NC(C(*)=O)C(C)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((21,), (8, 9))
231	rule0847	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(O)C1CCCN1.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C1CCCN1.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)OP(=O)(O)O	((21, 22), (2,), (18, 15))
255	rule0016	O.Nc1nc2c([nH]c(=O)n2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1>>Nc1nc2c([nH]c(=O)n2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1.O=P(O)(O)O	((0,), (17, 14))
