Reaction ID	Rule	Aligned smarts	Reaction center
14	rule0024	*C(=O)OCC(COP(=O)(O)OCC(N)C(=O)O)OC(*)=O>>*C(=O)OCC(COP(=O)(O)OCCN)OC(*)=O.O=C=O	((13, 15, 17),)
35	rule0031	CSCCC(N)C(=O)O.NC(=O)CCC(=O)C(=O)O>>CSCCC(=O)C(=O)O.NC(=O)CCC(N)C(=O)O	((4, 5), (5, 6))
56	rule0070	CSCCC(=O)C(=O)COP(=O)(O)O.O>>CSCC(O)C(O)C(=O)COP(=O)(O)O	((3, 4, 5), (0,))
97	rule0017	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCC.O=P(O)(O)O>>CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O)OC(=O)CCCCCCCCCCCCCCC.O	((30,), (2, 1))
140	rule0037	O=P(O)(O)OP(=O)(O)O.*NC(COP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(*)=O>>*NC(CO)C(*)=O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((2,), (4, 5))
162	rule0002	*C1CCC2C3CCC4CCCCC4(C)C3C(O)CC12C.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1>>*C1CCC2C3CCC4CCCCC4(C)C3C(=O)CC12C.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	((16, 17), (3, 4, 5, 6, 7, 47))
203	rule0847	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.NC(CO)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C(N)CO.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)OP(=O)(O)O	((21, 22), (6,), (18, 15))
223	rule0002	C=CCO.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1>>C=CC=O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	((2, 3), (3, 4, 5, 6, 7, 47))
247	rule0028	OC1COC(O)C(O)C1O>>OCC1OC(O)C(O)C1O	((2, 1, 8),)
247	rule0130	OC1COC(O)C(O)C1O>>OCC1OC(O)C(O)C1O	((0, 4, 3),)
268	rule0179	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.CC(O)(CCO)CC(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1>>CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	((47,), (4, 5), (3, 4, 5, 6, 7, 47), (3, 4, 5, 6, 7, 47))
311	rule0070	CC(C)C(=O)C(=O)O.O>>CC(C)(O)C(O)C(=O)O	((1, 3, 4), (0,))
332	rule0040	*C=CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O>>*CC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	((3, 2, 1),)
352	rule0037	O=P(O)(O)OP(=O)(O)O.CC(O)(CO)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O>>CC(O)(CO)C(O)COP(=O)(O)O.Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1	((2,), (12, 13))
396	rule0019	O=C(O)CCC(=O)C1=CC=CC(O)C1C(=O)O>>O.O=C(O)CCC(=O)c1ccccc1C(=O)O	((13, 11, 12),)
417	rule0136	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.CC(C)C(O)(CC(=O)O)C(=O)O>>CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.CC(C)C(=O)C(=O)O.O	((47,), (4, 3, 5, 6, 8))
461	rule0007	CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCNC(=O)CCCCCCCCCCCCCCC.O>>CCCCCC=CCC=CCCCCCCCC(=O)O.CCCCCCCCCCCCCCCC(=O)NCCOP(=O)(O)OCC(O)COC(=O)CCCCCCCCCCCCCCC	((17, 19), (0,))
482	rule0001	*OCC(=O)COP(=O)(O)O.*C(=O)O>>*C(=O)OCC(=O)COP(=O)(O)O.*O	((2, 1), (3,))
503	rule0063	*C(=O)NC(C=O)C(O)C(O)C(O)COP(=O)(O)O>>*C(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1O	((12, 5, 6),)
503	rule0771	*C(=O)NC(C=O)C(O)C(O)C(O)COP(=O)(O)O>>*C(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1O	((11, 12, 5, 6),)
544	rule0034	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.*OC1C(COP(*)(=O)O)OC(n2cnc3c(=O)[nH]c(N)nc32)C1O>>*OC1C(COP(*)(=O)O)OC(n2cnc3c(=O)[nH]c(NC)nc32)C1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	((0, 1), (20,))
564	rule0112	O=CC(O)c1ccc(O)c(O)c1.CN.OO>>CNCC(O)c1ccc(O)c(O)c1.O.O=O	((1, 0), (1,), (0, 1))
609	rule0001	*NC(C(*)=O)C(C)OC1OC(COC2(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O2)C(O)C(OC2OC(CO)C(O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O3)C2O)C1NC(C)=O.Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1>>*NC(C(*)=O)C(C)OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O3)C2O)C1NC(C)=O.CC(=O)NC1C(O)CC(OP(=O)(O)OCC2OC(n3ccc(N)nc3=O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO	((14, 13), (12,))
629	rule0369	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O.O>>CC1=CCCC(C)=CCC(C(C)(C)O)CCC(C)=CCC1.O=P(O)(O)OP(=O)(O)O	((1, 3, 19, 20), (0,))
649	rule0013	NC(CCCC(NC(=O)CCC(=O)O)C(=O)O)C(=O)O.O>>NC(CCCC(N)C(=O)O)C(=O)O.O=C(O)CCC(=O)O	((7, 6), (0,))
711	rule0215	*C1CC(O)C(COP(=O)(O)O)O1.O=P(O)(O)OP(=O)(O)O>>*C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1.O	((10,), (2, 1))
753	rule0080	O=C(O)CCC(=O)C(=O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C=O>>NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.O=C(O)CC(C(=O)O)C(O)C(=O)O	((4, 5, 6), (3, 4, 5, 45, 46, 47), (1, 0))
773	rule0277	C=C(C)C1CC=C(C)CC1.O=P(O)(O)OP(=O)(O)O>>CC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O	((4, 3, 1, 0), (2,))
795	rule0011	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2=O>>COc1c(O)ccc2c1CCC1C2CCC2(C)C(=O)CCC12.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	((0, 1), (11,))
817	rule0087	CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.*C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O>>*C(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS	((0,), (1, 3))
841	rule0194	O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O.O=c1[nH]c(=O)c2nc[nH]c2[nH]1>>O=P(O)(O)OP(=O)(O)O.O=c1[nH]c(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1	((8, 9), (8,))
862	rule0069	*C(=O)C(*)NC(=O)CCC(N)C(=O)O.*C(N)C(=O)O>>*C(=O)C(*)N.*C(NC(=O)CCC(N)C(=O)O)C(=O)O	((6, 5), (2,))
945	rule0014	O=P(O)(O)O.*OP(=O)(O)O>>*O.O=P(O)(O)OP(=O)(O)O	((2,), (1, 2))
969	rule0169	O=C(O)c1ccccc1NCC(=O)C(O)C(O)COP(=O)(O)O>>O=C(O)c1ccccc1NC1OC(COP(=O)(O)O)C(O)C1O	((10, 16, 11, 12),)
990	rule0124	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O.O	((21,), (21, 19))
990	rule0604	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O.O	((17, 18, 19, 21), (21,))
1055	rule0015	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	((12,), (22, 23))
1076	rule0131	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC.O=O>>CCCCCC=CCC=CC=CC(CC=CCCCC(=O)OC)OO	((12, 11, 10), (0, 1))
1096	rule0196	NC(CCS)C(=O)O.CC(=O)O>>CC(=O)OCCC(N)C(=O)O.S	((3, 4), (3,))
1140	rule1174	N#CS.OO>>N#CSO.O	((2,), (0, 1))
1161	rule0006	CCCCCCCCC=CCCCCCCCC(=O)O.CCCCCCCCCC(O)CCCCCCCC(=O)O>>CCCCCCCCC=CCCCCCCCC(=O)OC(CCCCCCCCC)CCCCCCCC(=O)O.O	((17, 19), (10,))
1225	rule0122	*C(=O)C(*)NC(=O)C(N)Cc1ccccc1.*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O>>*C(=O)C(*)N.*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C(N)Cc1ccccc1	((6, 5), (22,))
