Reaction ID	Rule	Aligned smarts	Reaction center
7	rule0097	C=C(OP(=O)(O)O)C(=O)O.O=C(O)C1=CC(OP(=O)(O)O)C(O)C(O)C1>>C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O.O=P(O)(O)O	((1, 2), (14,))
28	rule0020	C=C(OP(=O)(O)O)C(=O)O.O>>O=C(O)C(CO)OP(=O)(O)O	((0, 1), (0,))
48	rule0155	*OC1C(COP(*)(=O)O)OC(c2c[nH]c(=O)[nH]c2=O)C1O>>*OC1C(COP(*)(=O)O)OC(n2ccc(=O)[nH]c2=O)C1O	((14, 11, 12),)
90	rule0012	N=C(N)NCCCC(N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(CCC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)O.CSCCC(NC(=O)C(N)CC(C)C)C(N)=O>>CSCCC(NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)C(CCCCN)NC(=O)C1CCCN1C(=O)C(N)CCCNC(=N)N)C(N)=O.O	((76, 78), (9,))
155	rule0123	CC(O)C(NC(=O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(=O)O.*OC1C(COP(*)(=O)O)OC(n2cnc3c(N)ncnc32)C1O>>*OC1C(COP(*)(=O)O)OC(n2cnc3c(NC(=O)NC(C(=O)O)C(C)O)ncnc32)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O	((5, 7), (17,))
175	rule0010	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.*NC(CC(*)=O)C(=O)OC>>*NC(CC(*)=O)C(=O)O.C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	((14,), (10, 9))
196	rule0430	*OC1C(COP(*)(=O)O)OC(n2cnc3c(NCC=C(C)C)ncnc32)C1O.O=P(O)(O)OP(=O)(O)O>>*OC1C(COP(*)(=O)O)OC(n2cnc3c(N)ncnc32)C1O.CC(C)=CCOP(=O)(O)OP(=O)(O)O	((18, 17), (2,))
238	rule0778	Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2.Cc1cn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]c1=O>>Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CC1CN2.O=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1	((11, 9, 8), (0, 1))
281	rule0078	Cc1ncc(COP(=O)(O)O)c(C=O)c1O.OO>>Cc1ncc(COP(=O)(O)O)c(CO)c1O.O=O	((12, 13), (0, 1))
301	rule0051	CC(=O)C(=O)O.CC(=O)C(=O)O>>CC(O)(CC(=O)C(=O)O)C(=O)O	((0,), (1, 2))
345	rule0011	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.*OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3c[n+](C)c4c(=O)[nH]c(N)nc43)C(O)C2O)OC(*)C1O>>*OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3c[n+](C)c4c(=O)[nH]c(N)nc43)C(O)C2O)OC(*)C1OC.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	((0, 1), (42,))
389	rule0092	*CN.O.O=O>>*C=O.N.OO	((1, 2), (0,), (0, 1))
410	rule0059	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.CCCC(=O)O>>CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.O	((47,), (3, 5))
431	rule0170	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.O=P(O)(O)O>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O.O=C(O)CCC(=O)O	((48, 47), (21,), (2, 1))
