Reaction ID	Rule	Aligned smarts	Reaction center
25	rule0007	*NC(COP(=O)(O)OCC(C)(C)C(O)C(=O)NCCC(=O)NCCS)C(*)=O.O>>*NC(CO)C(*)=O.CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS	((3, 4), (0,))
25	rule0125	O.*NC(COP(=O)(O)OCC(C)(C)C(O)C(=O)NCCC(=O)NCCS)C(*)=O>>*NC(CO)C(*)=O.CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS	((0,), (4, 5))
45	rule0036	*NC(C(*)=O)C(C)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>*NC(C(*)=O)C(C)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=P(O)(O)OP(=O)(O)O	((8,), (18, 15))
67	rule0016	O.O=P(O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O>>O=P(O)(O)O.O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O	((0,), (4, 1))
87	rule0015	O=P(O)(O)OCC1OC(O)(CO)C(O)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O	((11,), (22, 23))
108	rule0016	O.*NC(Cc1ccc(OP(=O)(O)O)cc1)C(*)=O>>*NC(Cc1ccc(O)cc1)C(*)=O.O=P(O)(O)O	((0,), (8, 9))
130	rule0023	NCCc1ccc(O)c(O)c1.O=C=O>>NC(Cc1ccc(O)c(O)c1)C(=O)O	((1,), (1, 0))
192	rule0115	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.CCCCCCCCC=CCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.O=C=O>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O.CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	((47,), (17, 19), (1, 0))
234	rule0034	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.*OC1C(COP(*)(=O)O)OC(n2cnc3c(=O)[nH]c(N)nc32)C1O>>*OC1C(COP(*)(=O)O)OC(n2cnc3c(=O)n(C)c(N)nc32)C1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	((0, 1), (18,))
278	rule0015	CC(O)(CO)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	((2,), (22, 23))
321	rule0034	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.*OC1CC(n2cnc3c(N)ncnc32)OC1COP(*)(=O)O>>*OC1CC(n2cnc3c(NC)ncnc32)OC1COP(*)(=O)O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	((0, 1), (10,))
342	rule0001	CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN.CCCCCCCCCCCCCC=CC(O)C(CO)NC(C)=O>>CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN.CCCCCCCCCCCCCC=CC(O)C(COC(=O)CCCCCCCCCCCCCCC)NC(C)=O	((23, 22), (19,))
363	rule0021	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)O>>CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.CCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)O	((47,), (17, 19))
