Reaction ID	Rule	Aligned smarts	Reaction center
53	rule0550	NCCO.*C(=O)NC1COP(=O)(O)OC1*>>*C(=O)NC(COP(=O)(O)OCCN)C(*)O	((3,), (10, 7))
74	rule0022	*C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.*C(=O)OCC(O)CO>>*C(=O)OCC(CO)OC(*)=O.CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS	((1, 3), (6,))
159	rule0050	CC(N)C(=O)O.CC(N)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>CC(N)C(=O)NC(C)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.O=P(O)(O)O	((3, 5), (2,), (22, 19))
265	rule0017	*C(=O)O.O=P(O)(O)O>>*C(=O)OP(=O)(O)O.O	((3,), (2, 1))
285	rule0007	*C(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C.O>>*C(=O)O.CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO	((1, 3), (0,))
306	rule0846	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C(N)CCSC.O=P(O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O>>*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.CSCCC(N)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((21, 22), (2,), (17, 15))
328	rule0420	O=C1CC(C(=O)O)NC(=O)N1.*C1=C(*)C(=O)C(*)=C(*)C1=O>>*c1c(*)c(O)c(*)c(*)c1O.O=C(O)c1cc(=O)[nH]c(=O)[nH]1	((2, 3), (5, 4, 2, 1, 10, 11, 8, 6))
371	rule0347	CCC(C)(O)C(O)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1>>CCC(O)(C(C)=O)C(=O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	((1, 2, 5, 4), (3, 4, 5, 6, 7, 47))
393	rule0415	CC1=CCC(=C(C)C)CC1.O=P(O)(O)OP(=O)(O)O>>CC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O	((3, 4), (2,))
414	rule0013	*C(=O)C(CCSC)NC=O.O>>*C(=O)C(N)CCSC.O=CO	((9, 8), (0,))
436	rule0003	NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C1OC(COP(=O)(O)O)C(O)C(O)C1O>>NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.O=P(O)(O)OCC1OC(O)C(O)C(O)C1O	((3, 4, 5, 45, 46, 47), (1, 0))
479	rule0015	*NC(Cc1ccc(O)cc1)C(*)=O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>*NC(Cc1ccc(OP(=O)(O)O)cc1)C(*)=O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	((8,), (22, 23))
499	rule0716	Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(N)n1.Cc1ncsc1CCOP(=O)(O)O>>Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1.O=P(O)(O)OP(=O)(O)O	((5, 6), (2,))
