Reaction ID	Rule	Aligned smarts	Reaction center
13	rule0018	CCC=CCC1C(=O)CCC1CCCCCCCC(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1>>CCC=CCC1C(=O)C=CC1CCCCCCCC(=O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	((8, 9), (3, 4, 5, 6, 7, 47))
34	rule0111	*C1C(=O)N(*)C1*.O>>*NC(*)C(*)C(=O)O	((2, 4), (0,))
55	rule0024	CCC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O>>CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.O=C=O	((2, 3, 5),)
76	rule1219	CSCCC(N)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O.O>>C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=P(O)(O)O.O=P(O)(O)OP(=O)(O)O	((1,), (13, 14, 15, 18), (0,))
117	rule0022	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1	((19, 21), (18,))
139	rule0205	CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.NCCCCNCCCN>>C[S+](CCCN)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.NCCCCN	((1,), (6, 5))
161	rule0846	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C(N)C(C)O.O=P(O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O>>*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.CC(O)C(N)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((21, 22), (2,), (17, 15))
181	rule0937	Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1.O=C(O)CO>>O.O=CC(O)Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	((0,), (0, 1, 3, 4))
245	rule0016	O.*NC(COP(=O)(O)O)C(*)=O>>*NC(CO)C(*)=O.O=P(O)(O)O	((0,), (4, 5))
287	rule0573	NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.CN(C)c1ccc(N)cc1.Nc1ccccc1C(=O)O>>CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1	((3, 4, 5, 6, 7, 43), (3, 4, 5, 6, 7, 43), (7,), (0,))
