Reaction ID	Rule	Aligned smarts	Reaction center
17	rule0028	O=C(CO)C(O)C(O)COP(=O)(O)O>>O=CC(O)C(O)C(O)COP(=O)(O)O	((2, 1, 4),)
17	rule0250	O=C(CO)C(O)C(O)COP(=O)(O)O>>O=CC(O)C(O)C(O)COP(=O)(O)O	((2, 3, 1, 0),)
59	rule0028	O=C(O)C(CO)OP(=O)(O)O>>O=C(O)C(O)COP(=O)(O)O	((1, 3, 4),)
59	rule0129	O=C(O)C(CO)OP(=O)(O)O>>O=C(O)C(O)COP(=O)(O)O	((5, 6, 7),)
100	rule0016	O.*C(=O)OCC(COP(=O)(O)OC1C(O)C(OP(=O)(O)O)C(O)C(OP(=O)(O)O)C1O)OC(*)=O>>*C(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O)OC(*)=O.O=P(O)(O)O	((0,), (16, 17))
121	rule0024	NC(C(=O)O)=C(C=CC=O)C(=O)O>>NC(=CC=CC=O)C(=O)O.O=C=O	((5, 10, 12),)
144	rule0033	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.*OC1C(COP(*)(=O)O)OC(n2cnc3c(=O)[nH]c(NC)nc32)C1O>>*OC1C(COP(*)(=O)O)OC(n2cnc3c(=O)[nH]c(N)nc32)C1O.C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	((14,), (21, 20))
165	rule0846	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C(N)Cc1ccc(O)cc1.O=P(O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O>>*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.NC(Cc1ccc(O)cc1)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((21, 22), (2,), (17, 15))
185	rule0007	*C(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O.O>>*C(=O)O.O=P(O)(OCC(O)CO)OC1C(O)C(O)C(O)C(O)C1O	((1, 3), (0,))
227	rule0033	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC>>CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC)OC(=O)CCCCCCCC=CCC=CCCCCC.C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	((14,), (31, 30))
